Freq.	V(n028)/V(n012)
1.50487351880252e+01	(-2.81741955796575e-03dB,-1.71139402549807e-01°)
1.51356124843621e+01	(-2.81786396972304e-03dB,-1.72127395233380e-01°)
1.52229913288043e+01	(-2.81831352716609e-03dB,-1.73121091558940e-01°)
1.53108746168204e+01	(-2.81876829024231e-03dB,-1.74120524451981e-01°)
1.53992652605950e+01	(-2.81922831967280e-03dB,-1.75125727027782e-01°)
1.54881661891249e+01	(-2.81969367560372e-03dB,-1.76136732594038e-01°)
1.55775803483161e+01	(-2.82016441976426e-03dB,-1.77153574649742e-01°)
1.56675107010816e+01	(-2.82064061517717e-03dB,-1.78176286887011e-01°)
1.57579602274393e+01	(-2.82112232440323e-03dB,-1.79204903193231e-01°)
1.58489319246112e+01	(-2.82160961152731e-03dB,-1.80239457650776e-01°)
1.59404288071222e+01	(-2.82210254132502e-03dB,-1.81279984538853e-01°)
1.60324539069005e+01	(-2.82260117931381e-03dB,-1.82326518334525e-01°)
1.61250102733775e+01	(-2.82310559035326e-03dB,-1.83379093714804e-01°)
1.62181009735894e+01	(-2.82361584267440e-03dB,-1.84437745554989e-01°)
1.63117290922785e+01	(-2.82413200309990e-03dB,-1.85502508933451e-01°)
1.64058977319955e+01	(-2.82465414025828e-03dB,-1.86573419130051e-01°)
1.65006100132024e+01	(-2.82518232383244e-03dB,-1.87650511628125e-01°)
1.65958690743757e+01	(-2.82571662303168e-03dB,-1.88733822116855e-01°)
1.66916780721107e+01	(-2.82625710933992e-03dB,-1.89823386490369e-01°)
1.67880401812257e+01	(-2.82680385379163e-03dB,-1.90919240850697e-01°)
1.68849585948676e+01	(-2.82735692907563e-03dB,-1.92021421507898e-01°)
1.69824365246175e+01	(-2.82791640892456e-03dB,-1.93129964981154e-01°)
1.70804772005972e+01	(-2.82848236727460e-03dB,-1.94244908001472e-01°)
1.71790838715760e+01	(-2.82905487874686e-03dB,-1.95366287511228e-01°)
1.72782598050787e+01	(-2.82963401985513e-03dB,-1.96494140665800e-01°)
1.73780082874938e+01	(-2.83021986675534e-03dB,-1.97628504835856e-01°)
1.74783326241823e+01	(-2.83081249745170e-03dB,-1.98769417606874e-01°)
1.75792361395870e+01	(-2.83141199022052e-03dB,-1.99916916781872e-01°)
1.76807221773433e+01	(-2.83201842478410e-03dB,-2.01071040381650e-01°)
1.77827941003893e+01	(-2.83263188148606e-03dB,-2.02231826646764e-01°)
1.78854552910778e+01	(-2.83325244166552e-03dB,-2.03399314038145e-01°)
1.79887091512880e+01	(-2.83388018780284e-03dB,-2.04573541238998e-01°)
1.80925591025383e+01	(-2.83451520211122e-03dB,-2.05754547156194e-01°)
1.81970085860999e+01	(-2.83515757013382e-03dB,-2.06942370919929e-01°)
1.83020610631107e+01	(-2.83580737596306e-03dB,-2.08137051887644e-01°)
1.84077200146897e+01	(-2.83646470614832e-03dB,-2.09338629643073e-01°)
1.85139889420528e+01	(-2.83712964726507e-03dB,-2.10547143998944e-01°)
1.86208713666288e+01	(-2.83780228855995e-03dB,-2.11762634996809e-01°)
1.87283708301756e+01	(-2.83848271861207e-03dB,-2.12985142910429e-01°)
1.88364908948981e+01	(-2.83917102735982e-03dB,-2.14214708245644e-01°)
1.89452351435660e+01	(-2.83986730606895e-03dB,-2.15451371742062e-01°)
1.90546071796326e+01	(-2.84057164720916e-03dB,-2.16695174374207e-01°)
1.91646106273540e+01	(-2.84128414421097e-03dB,-2.17946157353323e-01°)
1.92752491319095e+01	(-2.84200489191333e-03dB,-2.19204362128096e-01°)
1.93865263595222e+01	(-2.84273398497778e-03dB,-2.20469830387410e-01°)
1.94984459975806e+01	(-2.84347151993439e-03dB,-2.21742604060111e-01°)
1.96110117547606e+01	(-2.84421759560242e-03dB,-2.23022725316565e-01°)
1.97242273611487e+01	(-2.84497231020790e-03dB,-2.24310236571250e-01°)
1.98380965683652e+01	(-2.84573576338051e-03dB,-2.25605180483571e-01°)
1.99526231496889e+01	(-2.84650805730144e-03dB,-2.26907599958184e-01°)
2.00678109001820e+01	(-2.84728929401018e-03dB,-2.28217538148183e-01°)
2.01836636368157e+01	(-2.84807957609705e-03dB,-2.29535038456031e-01°)
2.03001851985970e+01	(-2.84887900941008e-03dB,-2.30860144533495e-01°)
2.04173794466954e+01	(-2.84968770024203e-03dB,-2.32192900284774e-01°)
2.05352502645716e+01	(-2.85050575452210e-03dB,-2.33533349868346e-01°)
2.06538015581054e+01	(-2.85133328095094e-03dB,-2.34881537696698e-01°)
2.07730372557258e+01	(-2.85217039000425e-03dB,-2.36237508438249e-01°)
2.08929613085405e+01	(-2.85301719241341e-03dB,-2.37601307019810e-01°)
2.10135776904676e+01	(-2.85387379983789e-03dB,-2.38972978627922e-01°)
2.11348903983666e+01	(-2.85474032576328e-03dB,-2.40352568709120e-01°)
2.12569034521712e+01	(-2.85561688604638e-03dB,-2.41740122972086e-01°)
