Freq.	V(n028)/V(n012)
1.16144861384034e+01	(-2.80189165472066e-03dB,-1.32084105022555e-01°)
1.16815372986133e+01	(-2.80215626306438e-03dB,-1.32846632184395e-01°)
1.17489755493953e+01	(-2.80242393492425e-03dB,-1.33613561417265e-01°)
1.18168031254479e+01	(-2.80269470669350e-03dB,-1.34384918132395e-01°)
1.18850222743702e+01	(-2.80296861450005e-03dB,-1.35160727889339e-01°)
1.19536352567372e+01	(-2.80324569332200e-03dB,-1.35941016395990e-01°)
1.20226443461742e+01	(-2.80352598025871e-03dB,-1.36725809507326e-01°)
1.20920518294321e+01	(-2.80380951287158e-03dB,-1.37515133227207e-01°)
1.21618600064637e+01	(-2.80409632855902e-03dB,-1.38309013710624e-01°)
1.22320711904993e+01	(-2.80438646606993e-03dB,-1.39107477262586e-01°)
1.23026877081238e+01	(-2.80467996234260e-03dB,-1.39910550341586e-01°)
1.23737118993535e+01	(-2.80497685783721e-03dB,-1.40718259556742e-01°)
1.24451461177139e+01	(-2.80527719058502e-03dB,-1.41530631672632e-01°)
1.25169927303173e+01	(-2.80558100117259e-03dB,-1.42347693606962e-01°)
1.25892541179417e+01	(-2.80588833008908e-03dB,-1.43169472433127e-01°)
1.26619326751095e+01	(-2.80619921739730e-03dB,-1.43995995381753e-01°)
1.27350308101666e+01	(-2.80651370456745e-03dB,-1.44827289839464e-01°)
1.28085509453628e+01	(-2.80683183322991e-03dB,-1.45663383351670e-01°)
1.28824955169314e+01	(-2.80715364588610e-03dB,-1.46504303622353e-01°)
1.29568669751702e+01	(-2.80747918487638e-03dB,-1.47350078515735e-01°)
1.30316677845230e+01	(-2.80780849305720e-03dB,-1.48200736056889e-01°)
1.31069004236608e+01	(-2.80814161479853e-03dB,-1.49056304432112e-01°)
1.31825673855641e+01	(-2.80847859369672e-03dB,-1.49916811991301e-01°)
1.32586711776056e+01	(-2.80881947478351e-03dB,-1.50782287247037e-01°)
1.33352143216333e+01	(-2.80916430292475e-03dB,-1.51652758877470e-01°)
1.34121993540537e+01	(-2.80951312399240e-03dB,-1.52528255725443e-01°)
1.34896288259166e+01	(-2.80986598412758e-03dB,-1.53408806800769e-01°)
1.35675053029987e+01	(-2.81022293017367e-03dB,-1.54294441280706e-01°)
1.36458313658893e+01	(-2.81058400938598e-03dB,-1.55185188510586e-01°)
1.37246096100757e+01	(-2.81094926976163e-03dB,-1.56081078005314e-01°)
1.38038426460289e+01	(-2.81131875950226e-03dB,-1.56982139450508e-01°)
1.38835330992905e+01	(-2.81169252755423e-03dB,-1.57888402702782e-01°)
1.39636836105594e+01	(-2.81207062385363e-03dB,-1.58799897790662e-01°)
1.40442968357795e+01	(-2.81245309855264e-03dB,-1.59716654916807e-01°)
1.41253754462276e+01	(-2.81284000160283e-03dB,-1.60638704458167e-01°)
1.42069221286019e+01	(-2.81323138514550e-03dB,-1.61566076966275e-01°)
1.42889395851111e+01	(-2.81362730049720e-03dB,-1.62498803169872e-01°)
1.43714305335640e+01	(-2.81402779981856e-03dB,-1.63436913974940e-01°)
1.44543977074593e+01	(-2.81443293722844e-03dB,-1.64380440464887e-01°)
1.45378438560767e+01	(-2.81484276571326e-03dB,-1.65329413903795e-01°)
